id,age,country,employment_type,years_employed,annual_income,years_credit_history,num_credit_accounts,credit_score,past_defaults,payment_history_score,total_portfolio_value,btc_pct,eth_pct,stablecoins_pct,other_pct,portfolio_volatility_30d,transaction_frequency_30d,average_transaction_size,wallet_age_days,smart_contract_interactions,defi_experience_level,gas_fee_spending_30d,requested_loan_amount,loan_purpose,collateral_amount,collateral_type,requested_term_months,ltv_ratio,debt_to_income_ratio,risk_score,default_in_12_months,actual_repayment_days,generated_at,generator_version
SYNTH_000000,40,UK,full_time,20,31307,22,2,693,0,78,448323,8.39,49.52,40.62,1.47,26.653357242088195,13,67088,514,7,5,530,1000,personal,1849,ETH,24,54.08,0.27,46.87,0,764.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000001,33,US,full_time,6,69878,15,5,749,0,68,125626,13.27,28.66,42.73,15.34,33.8434733407471,12,15607,93,10,22,64,1000,personal,1294,USDC,12,77.28,0.12,41.3,0,370.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000002,42,US,part_time,20,22022,24,7,636,0,53,1019664,16.39,22.4,33.82,27.39,29.072389741274534,7,219565,142,16,27,223,1000,education,1728,ETH,6,57.87,0.38,47.83,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000003,53,US,self_employed,27,99368,35,3,619,0,45,162481,37.01,17.12,23.19,22.69,29.405073417240857,13,42235,341,7,6,157,1000,business,1642,USDT,24,60.9,0.08,42.23,0,683.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000004,32,DE,full_time,4,74825,14,5,598,0,61,54794,44.49,34.63,15.42,5.46,43.158130571102376,10,8759,1237,5,17,119,1000,investment,1938,ETH,3,51.6,0.11,44.24,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000005,32,US,self_employed,11,53210,13,1,589,1,50,76207,12.22,38.02,37.66,12.09,30.17182425220178,16,9286,604,7,13,572,1000,investment,1734,USDC,12,57.67,0.16,47.33,0,327.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000006,53,UK,full_time,35,15000,33,6,750,0,86,97721,39.19,32.54,24.45,3.82,35.91572428148001,12,20017,386,9,0,470,1000,personal,1777,USDC,24,56.27,0.56,49.2,0,719.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000007,44,AU,full_time,20,206121,22,6,794,0,87,395243,10.94,42.81,38.85,7.4,28.301745651039322,11,89761,752,9,12,392,1000,education,1355,ETH,3,73.8,0.04,34.51,0,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000008,29,US,full_time,6,28647,11,3,737,1,73,77411,12.17,20.6,66.32,0.91,22.172333312448938,7,10839,262,10,33,270,1000,personal,1911,ETH,12,52.33,0.29,40.55,0,350.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000009,41,AU,full_time,14,82183,23,5,636,0,71,143357,39.28,13.93,46.43,0.36,30.57126982386349,16,11847,380,10,23,731,1000,investment,1242,BTC,24,80.52,0.1,44.21,0,662.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000010,29,CA,self_employed,7,98770,11,8,663,0,60,58611,2.58,53.91,22.43,21.08,41.739936233729324,8,15664,463,6,11,235,1000,other,1849,ETH,24,54.08,0.08,39.07,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000011,29,US,self_employed,10,130250,10,4,671,0,60,27532,3.92,44.68,13.32,38.08,40.19738932703005,15,7454,183,10,6,568,1000,education,1210,USDC,12,82.64,0.06,44.23,0,358.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000012,37,CA,student,0,15000,19,7,721,1,82,399010,50.85,19.74,26.73,2.68,43.38422992704737,12,106222,305,7,18,285,1000,investment,1380,USDC,3,72.46,0.56,51.73,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000013,18,CA,full_time,0,39235,0,3,707,0,71,38922,45.86,27.02,21.57,5.55,33.02325428396903,11,2132,837,9,14,119,1000,business,1623,USDT,12,61.61,0.21,46.48,0,350.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000014,18,UK,student,0,34208,0,2,762,0,90,1469228,9.58,36.7,51.55,2.17,32.41390086557724,12,93681,825,5,10,286,1000,business,1389,USDT,36,71.99,0.24,46.83,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000015,28,US,full_time,3,195389,10,3,731,0,74,115530,20.51,42.28,36.4,0.81,41.846535175187384,6,22253,329,7,13,147,1000,education,1957,USDT,36,51.1,0.04,35.11,0,1020.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000016,22,SG,full_time,3,37937,3,4,850,0,82,10339,16.73,39.19,21.74,22.34,33.55892939821178,23,610,660,9,29,474,1000,business,1922,USDT,24,52.03,0.22,34.77,0,749.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000017,38,OTHER,part_time,19,45364,20,5,812,0,88,12188,8.35,50.01,37.5,4.14,25.674230827164443,14,2837,726,4,14,251,1000,business,1679,USDC,24,59.56,0.18,38.82,0,653.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000018,24,DE,full_time,1,31114,6,4,658,0,73,167515,14.31,28.24,51.9,5.56,23.296917828594875,11,16458,512,5,4,87,1000,investment,1213,USDT,6,82.44,0.27,53.34,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000019,18,US,full_time,0,52613,0,3,644,0,48,35916,24.01,46.93,14.31,14.76,28.08226705738176,13,6135,745,6,16,282,1000,business,1699,USDC,12,58.86,0.16,45.59,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000020,52,CA,full_time,34,165807,33,5,820,0,92,11303522,35.81,32.79,15.36,16.03,42.3638491530798,8,2045913,675,6,12,235,1000,investment,1639,DAI,24,61.01,0.05,33.63,0,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000021,32,UK,full_time,8,36231,14,4,675,0,50,92850,10.68,17.47,57.26,14.59,25.791363635827537,18,5516,1056,4,22,538,1000,personal,1957,USDC,6,51.1,0.23,43.38,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000022,35,DE,self_employed,15,96990,15,2,675,1,67,817517,12.84,19.7,49.59,17.87,28.204995096000335,15,234501,326,8,0,179,1000,personal,1929,USDT,24,51.84,0.09,37.54,0,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000023,18,CA,unemployed,0,15000,0,4,641,0,65,264515,34.84,17.64,46.78,0.74,34.6200145259142,16,55262,169,9,24,99,1000,other,1686,USDC,12,59.31,0.56,50.25,0,375.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000024,28,SG,self_employed,1,100627,6,6,739,0,72,201731,9.59,19.46,52.98,17.97,23.30819055032192,13,26831,476,8,18,388,1000,business,1618,DAI,6,61.8,0.08,33.77,0,194.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000025,36,AU,student,0,15000,15,3,733,0,83,93142,22.69,56.05,20.65,0.6,47.39019642493609,16,11472,514,7,5,409,1000,other,1338,DAI,3,74.74,0.56,54.55,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000026,21,CA,self_employed,0,83997,3,3,546,0,23,57158,14.92,28.04,56.42,0.62,33.84584998944571,14,10936,311,8,22,372,1000,personal,1931,DAI,12,51.79,0.1,42.25,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000027,39,DE,student,0,15000,21,3,670,0,88,118225,43.28,31.58,23.35,1.79,35.64540707929649,13,24781,734,9,29,522,1000,business,1360,Mixed,36,73.53,0.56,51.82,0,1067.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000028,27,US,full_time,0,15000,8,8,788,0,100,113896,12.27,26.4,55.42,5.91,34.27283198972861,11,14765,321,7,22,72,1000,business,1651,USDC,3,60.57,0.56,44.36,0,85.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000029,31,JP,part_time,3,15000,13,6,850,0,100,12547,17.66,46.64,27.33,8.37,36.45204790313874,10,3350,575,11,12,207,1000,other,1564,USDT,6,63.94,0.56,43.81,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000030,27,OTHER,full_time,3,28837,4,2,685,0,79,3580,25.65,34.56,36.34,3.45,25.171795890851637,12,243,1326,9,26,171,1000,emergency,1883,USDT,6,53.11,0.29,43.92,0,169.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000031,57,US,part_time,39,18822,39,4,746,0,88,34906,24.59,14.63,55.66,5.12,35.25211134389856,8,6335,181,16,27,42,1000,business,1430,USDT,12,69.93,0.44,46.45,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000032,34,SG,full_time,9,71045,13,5,726,0,83,192748,18.48,7.71,61.08,12.72,34.802440794296544,7,22746,596,8,21,240,1000,emergency,1949,ETH,6,51.31,0.12,37.45,0,175.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000033,22,US,self_employed,4,216078,2,1,840,0,100,73705,5.08,13.07,74.95,6.89,29.447180336701187,6,16691,445,4,2,206,1000,personal,1441,ETH,36,69.4,0.04,34.21,0,993.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000034,44,AU,self_employed,21,82956,26,1,697,0,67,721061,25.64,32.39,26.33,15.65,38.67127769775708,14,113398,523,5,15,684,1000,emergency,1398,USDC,24,71.53,0.1,41.7,0,766.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000035,20,CA,unemployed,0,15000,2,3,783,0,77,30307,17.18,51.69,17.51,13.62,45.25243314563553,5,5296,364,15,23,229,1000,emergency,1399,BTC,12,71.48,0.56,48.02,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000036,37,US,self_employed,13,161575,15,5,850,0,81,1892710,5.64,11.61,69.17,13.58,24.372324894048585,9,271502,393,4,8,338,1000,personal,1598,USDT,24,62.58,0.05,30.18,0,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000037,18,JP,full_time,0,144598,0,3,812,0,95,1064946,14.26,49.27,32.58,3.9,32.312192325801746,7,138130,322,4,2,118,1000,emergency,1379,DAI,36,72.52,0.06,35.73,0,1164.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000038,19,US,self_employed,0,62943,0,4,688,0,77,59965,23.56,36.76,28.63,11.05,30.05915134585917,5,17740,426,5,7,231,1000,personal,1667,USDT,12,59.99,0.13,43.3,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000039,37,AU,full_time,11,28135,15,3,737,1,87,63035,4.12,49.37,41.29,5.22,31.919064010778996,19,16195,522,7,36,832,1000,personal,1994,ETH,36,50.15,0.3,40.22,0,994.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000040,43,SG,full_time,13,198155,24,7,850,0,88,68164,21.08,37.98,32.65,8.29,40.66036277031029,8,8657,656,6,11,81,1000,other,1663,USDT,6,60.13,0.04,31.22,0,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000041,37,UK,full_time,19,50814,19,1,782,0,82,136427,7.49,52.33,36.55,3.63,32.708682159047456,10,16965,386,5,0,449,1000,other,1998,BTC,6,50.05,0.16,40.01,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000042,33,US,full_time,11,156015,11,2,590,0,45,15569,15.21,49.01,30.29,5.48,31.000031155622406,26,3986,643,9,17,720,1000,investment,1550,DAI,12,64.52,0.05,41.64,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000043,31,US,full_time,6,105912,13,2,758,0,84,168897,33.38,17.52,47.47,1.64,27.748928232934023,7,16369,722,5,11,159,1000,investment,1777,DAI,24,56.27,0.08,33.03,0,717.0,2026-01-03T01:25:43.880677,1.0.0
