feature,importance,xgb_importance,lgb_importance
risk_score,14.467618288099766,0.11269715,36
wallet_age_days,7.606006331648678,0.010010553,19
defi_experience_level,6.006838880944997,0.011398135,15
collateral_amount,5.206576159968972,0.010960266,13
btc_pct,5.206329052615911,0.01054842,13
gas_fee_spending_30d,5.206094538141042,0.010157563,13
accounts_per_year,4.806440888624639,0.010734814,12
portfolio_volatility_30d,4.806097182165832,0.01016197,12
gas_per_transaction,4.4064951600506905,0.010825266,11
stablecoins_pct,4.406461456418038,0.010769093,11
transaction_frequency_30d,4.406421628408134,0.010702713,11
other_pct,4.006058279424906,0.010097132,10
credit_score,3.6107709486037494,0.01795158,9
ltv_ratio,3.607174506317824,0.01195751,9
smart_contract_interactions,3.2061508719809355,0.010251453,8
eth_pct,3.205883532110602,0.009805886,8
employment_type_self_employed,2.809519645944238,0.015866077,7
num_credit_accounts,2.806621317472309,0.011035529,7
payment_history_score,2.806431968417019,0.010719947,7
average_transaction_size,2.8061477632261815,0.010246271,7
avg_transaction_to_portfolio,2.8060451808385554,0.010075301,7
debt_to_income_ratio,2.440751211345196,0.06791868,6
payment_to_income_ratio,2.4061572822742168,0.010262136,6
total_portfolio_value,2.406097558420152,0.010162597,6
loan_to_income_months,2.0177533887326717,0.02958898,5
loan_purpose_emergency,2.009643846191466,0.016073076,5
loan_purpose_investment,1.6096155274659396,0.016025878,4
ltv_squared,1.6078226011246444,0.013037669,4
collateral_type_DAI,1.6068946150131524,0.011491025,4
volatile_asset_pct,1.6060924203135074,0.010154033,4
collateral_type_USDT,1.20848163664341,0.01413606,3
loan_purpose_personal,1.208348332718015,0.013913888,3
collateral_type_USDC,1.2070482562296094,0.011747093,3
credit_score_squared,1.206252517923713,0.010420863,3
annual_income,1.2061562657356264,0.010260442,3
employment_stability,1.2060979370027782,0.010163228,3
years_employed,1.2057753287255766,0.009625548,3
collateral_type_ETH,0.8074263033457101,0.012377172,2
requested_term_months,0.8069522610865534,0.011587101,2
collateral_to_portfolio_ratio,0.806540393922478,0.010900656,2
age,0.8065172920003534,0.010862153,2
years_credit_history,0.805725784227252,0.009542974,2
log_annual_income,0.40867773778736594,0.014462896,1
monthly_payment_estimate,0.4085424529388547,0.014237422,1
loan_purpose_education,0.40801434181630614,0.013357235,1
country_UK,0.4069550289772451,0.011591715,1
log_portfolio_value,0.40684729451313617,0.011412157,1
income_to_loan_ratio,0.406822073366493,0.0113701215,1
volatility_squared,0.4067624724470079,0.011270787,1
defaults_per_account,0.40639446917921307,0.010657448,1
credit_history_to_age_ratio,0.4059832585975528,0.009972097,1
wallet_age_years,0.4058915740810335,0.00981929,1
long_term_holder,0.01174139603972435,0.019568993,0
high_leverage_flag,0.009744647890329361,0.01624108,0
high_volatility_flag,0.00916927121579647,0.015282119,0
country_CA,0.009167863987386227,0.015279773,0
country_US,0.009139570407569408,0.015232616,0
country_JP,0.008081860840320587,0.013469768,0
past_defaults,0.008039816282689571,0.013399693,0
country_OTHER,0.0072761098854243755,0.012126849,0
employment_type_part_time,0.0069796121679246426,0.0116326865,0
loan_purpose_other,0.006928077433258295,0.011546795,0
portfolio_to_loan_ratio,0.006660935468971729,0.011101559,0
country_DE,0.006654726341366768,0.01109121,0
country_SG,0.0065987915731966496,0.0109979855,0
safe_asset_ratio,0.0065407282672822475,0.010901214,0
employment_type_unemployed,0.00597445759922266,0.009957429,0
collateral_type_Mixed,0.0057923151180148125,0.009653858,0
low_credit_flag,0.005502893589437008,0.009171489,0
employment_type_student,0.004781963303685188,0.007969938,0
requested_loan_amount,0.0,0.0,0
experienced_defi_user,0.0,0.0,0
high_debt_to_income_flag,0.0,0.0,0
active_trader,0.0,0.0,0
log_loan_amount,0.0,0.0,0
